Paraguay,PRY,9.765566672
West Bank and Gaza,PSE,3.741223919
Pacific island small states,PSS,6.098717552
Post-demographic dividend,PST,7.877370037
Qatar,QAT,4.995275537
Romania,ROU,13.79548874
Rwanda,RWA,17.68920956
South Asia,SAS,7.67387307
Saudi Arabia,SAU,2.474073719
Sudan,SDN,138.8084602
Senegal,SEN,9.696818991
Singapore,SGP,6.12106004
Solomon Islands,SLB,5.518129286
Sierra Leone,SLE,27.20828838
El Salvador,SLV,7.198616156
San Marino,SMR,5.325453213
Serbia,SRB,11.98151173
Sub-Saharan Africa (excluding high income),SSA,9.45955253
South Sudan,SSD,-6.687320942
Sub-Saharan Africa,SSF,9.393838775
Small states,SST,6.215324707
Sao Tome and Principe,STP,18.00563511
Suriname,SUR,52.44602728
Slovak Republic,SVK,12.77414636
Slovenia,SVN,8.833698867
Sweden,SWE,8.369290989
Seychelles,SYC,2.626036329
Chad,TCD,5.788026878
East Asia & Pacific (IDA & IBRD countries),TEA,5.518129286
Europe & Central Asia (IDA & IBRD countries),TEC,13.88758417
Togo,TGO,7.967573616
Thailand,THA,6.077412284
Latin America & the Caribbean (IDA & IBRD countries),TLA,7.838445722
Timor-Leste,TLS,7.005309454
Middle East & North Africa (IDA & IBRD countries),TMN,7.481751636
Tonga,TON,10.97136529
South Asia (IDA & IBRD),TSA,7.67387307
Sub-Saharan Africa (IDA & IBRD countries),TSS,9.393838775
Trinidad and Tobago,TTO,5.828386385
Tunisia,TUN,8.306461244
Turkiye,TUR,72.30883599
Tanzania,TZA,4.350272043
Uganda,UGA,7.19578886
Ukraine,UKR,20.18363666
Upper middle income,UMC,8.64091109
Uruguay,URY,9.104379831
United States,USA,8.002799821
Uzbekistan,UZB,11.4466437
St. Vincent and the Grenadines,VCT,5.660097792
Viet Nam,VNM,3.1565075
Vanuatu,VUT,6.679305819
World,WLD,7.930929254
Samoa,WSM,10.96188223
Kosovo,XKX,11.58051045
South Africa,ZAF,7.039872725
Zambia,ZMB,10.99320392
Zimbabwe,ZWE,104.7051706
